,specialStudents_girls,cursosComunitarios,workingComputers,meanAge_4,meanAge_1,meanAge_2,numberCT,totalBoys,brokenWC,classSize_6,wallMaterial,computerGov,classSize_4,v_phoneService,totalWC,meanAge_3,margina,totalGirls,p_mat_std,cct
268,0.0,1.0,1.0,9.083333,6.0,7.0,2,4.1666665,2.0,4.0,0.89999998,0.0,5.0,0,2.0,8.0,3,1.1666666,-0.3737728,06KPR0310E
269,0.0,1.0,100.34000000099999,9.444444699999998,7.0,6.833333500000001,2,3.75,3.0,3.5,0.2,0.24000000300000002,4.0,0,1.0,8.333333,2,1.375,-1.2163656,06KPR0319W
270,0.0,1.0,0.680000001,9.222222300000002,6.75,8.3888893,2,1.875,1.0,5.0,0.89999998,0.0,2.75,0,2.0,8.333333,2,3.875,-0.72158074,06KPR0329C
271,0.0,1.0,0.95,9.0,9.1999998,7.333333500000001,1,2.7142856,1.0,1.0,0.40000001,0.2,2.75,0,1.0,9.083333,2,1.0,-0.78481072,06KPR0338K
272,0.0,1.0,0.45,9.1291667,6.666666499999999,10.5,1,1.3333334,0.75,2.525,0.7499999860000003,0.0,3.13333333,0,4.0,11.25,2,2.0,0.52322698,06KPR0340Z
273,0.0,1.0,0.85,10.0,6.0,8.5,2,1.75,1.1,4.0,0.89999998,0.166666669,1.0,0,0.0,9.0,2,1.5,-0.53143758,06KPR0342X
274,0.0,1.0,300.4,14.0,6.29250002,8.0,1,3.5,251.0,2.58,0.89999998,0.6,2.5,0,0.0,10.5,2,0.5,-0.10688233,06KPR0345U
275,0.0,1.0,0.85,8.88888873,5.706111099999999,7.5,2,3.0,1.0,3.5,0.89999998,0.05,2.9,0,1.0,9.25,2,2.0,-1.0043242000000001,06KPR0347S
276,0.0,1.0,300.15,14.0,8.666667,10.5,1,1.3333334,1.0,2.03333329,0.40000001,0.2,2.0,0,1.0,8.03055563,2,3.0,-1.3151121000000001,06KPR0348R
277,0.0,0.0,0.0,9.0249996,6.0250001,7.025000099999999,3,12.625,900.8333333300001,9.571428300000001,0.89999998,0.0,11.5,0,0.0,8.0666666,3,11.25,-1.3405027,07KPB0001Y
278,0.0,0.0,1.0,9.0625,6.0625,7.3125,2,4.75,1100.15,5.0,0.89999998,0.0,6.5,0,0.0,8.0625,1,8.25,-1.6813923,07KPB0002X
279,0.0,0.0,100.30967741919999,9.0,5.978571400000001,6.8571429,2,6.125,1.0,5.7142859,0.89999998,0.0,6.8571429,0,2.0,8.190476400000001,1,7.125,-0.47680777,07KPB0006T
