,cistern,workingComputers,directivesTeachers,classSize_5,roomQuality,mt_readTeachers,carrMagisterial,meanAge_2,classSize_6,students1,nivelCarrMagis,sexRatio_students,mt_speakStaff,meanAge_3,classSize_prim,graduateTeachers,margina,mt_readStaff,totalGirls,totalTeachers,preschoolAttendance,disabilitiesStudents,extraFacilities,safety,p_mat_std,cct
2673,1.0,1.0,1.0,11.375,2.0,0.5625,0.0,7.3816085000000005,10.25,14.375,0.0,0.23728696,0.35416669,8.6340761,12.0625,0.125,3,0.25,31.625,1.5,0.98214287,0.0091209374,0,0,-0.93552858,20DPB2137J
2674,0.0,0.66666669,1.0,8.5,1.6,0.875,0.0,7.822222200000001,8.875,9.25,0.0,0.11594091,0.52083331,8.9130955,8.6875,0.0,1,0.4375,25.375,1.125,0.011363637,0.0024509805,1,4,-0.35289207,20DPB2143U
2675,0.0,0.75,1.0,4.875,1.8,0.0,0.0,7.9895830000000005,4.5,4.75,0.0,0.17095613,0.0,9.052083,4.4166665,0.033273809800000005,2,0.0,11.875,0.0,0.125,0.034280937000000004,3,0,-1.67327,20DPB2144T
2676,0.0,0.18333333400000001,1.0,4.75,2.0,1.0,0.0,7.2643938,4.1666665,5.625,0.0,0.2440711,0.125,9.1071434,5.1944447,0.0,1,0.125,13.375,0.25,0.0,0.018939395,3,0,-1.3977982,20DPB2145S
2677,0.0,1.0,1.0,6.875,1.2,1.0,0.0,7.4097719,7.5,8.125,0.0,0.12543701,0.41666669,8.7215281,7.5,0.33333334,1,0.41666669,23.625,1.0,0.625,0.0,4,0,-0.892389,20DPB2146R
2678,0.0,0.566666669,1.0,1.6666666,1.4,0.0,0.125,7.3571429,2.125,3.25,0.25,0.49196428,0.0,8.333333,2.0416667,0.368541667,3,0.0,4.125,0.0,0.5,0.051282052,1,1,-1.6468201,20DPB2148P
2679,0.0,0.6,1.0,18.875,1.8,0.42708334,0.0,7.2277279000000005,19.5,21.75,0.0,0.09127405300000001,0.30000001,8.346434599999998,18.979166,0.17708334,1,0.30000001,53.375,2.25,0.49002194,0.0098914569,2,1,-1.1971266,20DPB2149O
2680,0.0,0.0,1.0,5.5,2.0,0.83333331,0.0,7.626587400000001,5.375,7.625,0.0,0.18658465,0.3125,8.9339285,6.1666665,0.0,3,0.3125,18.375,0.75,0.029513888,0.0033783784999999998,1,6,-0.79523623,20DPB2151C
2681,0.0,1.0,1.0,5.75,1.8,1.0,0.1875,6.8571429,3.875,3.75,0.1875,0.15403139999999998,0.1875,7.791666499999999,4.404761799999999,0.0,2,0.1875,10.75,0.375,1.0,0.025625,2,0,-1.1001709,20DPB2153A
2682,0.0,0.6833333340000001,1.0,2.6666667,1.2,0.0,0.0,7.364583500000001,2.8,5.5,0.0,0.26845238,0.0,8.666667,3.2,0.140000001,1,0.0,7.375,0.0,0.55000001,0.013888889,2,0,-1.4989727,20DPB2154Z
2683,0.0,0.5190476210000001,1.0,9.666667,2.0,0.80000001,0.0,7.4095936,11.0,9.25,0.0,0.17756525,0.3125,8.7227907,9.694444699999998,0.1,1,0.3125,23.25,1.125,0.46875,0.0045041451,1,1,-0.80150932,20DPB2155Z
2684,0.0,1.0,1.0,5.25,1.4,1.0,0.0,7.959374900000001,4.375,8.75,0.0,0.14304461,0.3125,9.572917,6.3541665,0.0,1,0.3125,20.625,0.5,0.0,0.010126133,1,0,-1.4768801,20DPB2156Y
2685,1.0,0.48000000099999995,0.0,21.75,2.0,1.0,0.0,7.362577000000001,20.625,27.625,0.0,0.11515874,0.78373015,8.4843006,22.53125,0.020833334,2,0.78373015,66.125,6.25,0.99107146,0.0048240647,1,0,-0.64570355,20DPB2157X
